Price,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,days_ago,days_ago,days_ago,days_ago,days_ago,days_ago
Ticker,AAPL,AMZN,GOOGL,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,MSFT,NVDA,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-06,241.74664306640625,227.02999877929688,173.9429168701172,441.1459655761719,142.4089813232422,389.2200012207031,243.5285923470879,227.14999389648438,174.3112874696141,443.66213830194334,145.66826585624298,389.489990234375,240.99007032901886,220.60000610351562,171.10542413534188,439.35578408835863,141.27922253713282,370.79998779296875,241.81633519239523,220.75,171.2746759024565,439.8828865059849,144.56851457164973,377.4200134277344,36870600.0,44178100.0,21462400.0,18821000.0,188505600.0,81455800.0,347,347,347,347,347,347
2024-12-07,243.04410298665366,226.71666463216147,174.22864786783853,441.9581604003906,141.1992390950521,389.4100036621094,244.39466893131714,228.1266632080078,174.76993067844455,444.40140012894125,143.75201245532372,394.59332275390625,240.88055856242343,222.29000345865884,171.7655154192819,438.9347650686207,139.88619102060974,373.2033284505208,241.4579490138667,222.90333557128906,171.98135172888283,439.98234329835645,142.69225086121273,384.15000406901044,39463466.666666664,45058533.333333336,22771466.666666668,18928800.0,188773266.66666666,86423600.0,346,346,346,346,346,346
2024-12-08,244.34156290690103,226.40333048502603,174.5143788655599,442.7703552246094,139.98949686686197,389.6000061035156,245.26074551554638,229.10333251953125,175.228573887275,445.1406619559392,141.8357590544045,399.6966552734375,240.77104679582797,223.9800008138021,172.42560670322194,438.51374604888287,138.4931595040867,375.60666910807294,241.0995628353382,225.05667114257812,172.68802755530916,440.08180009072805,140.81598715077573,390.87999471028644,42056333.333333336,45938966.666666664,24080533.333333332,19036600.0,189040933.33333334,91391400.0,345,345,345,345,345,345
2024-12-09,245.63902282714844,226.08999633789062,174.80010986328125,443.5825500488281,138.77975463867188,389.7900085449219,246.1268220997756,230.0800018310547,175.68721709610546,445.8799237829371,139.91950565348523,404.79998779296875,240.66153502923254,225.6699981689453,173.08569798716198,438.09272702914495,137.1001279875636,378.010009765625,240.74117665680967,227.2100067138672,173.3947033817355,440.1812568830996,138.93972344033872,397.6099853515625,44649200.0,46819400.0,25389600.0,19144400.0,189308600.0,96359200.0,344,344,344,344,344,344
2024-12-10,246.65444946289062,225.0399932861328,184.5682830810547,440.9072570800781,135.04058837890625,400.989990234375,247.09247084593116,229.05999755859375,185.75441857624554,447.16289170564096,141.78911819403848,409.7300109863281,244.23538234840328,224.1999969482422,180.46167600322863,439.1867306857862,133.76085313448985,390.8500061035156,245.77840669680953,226.08999633789062,182.2558298947272,441.96149226752044,138.97971741196267,392.67999267578125,36914800.0,31199900.0,54813000.0,18469500.0,210020900.0,97563600.0,343,343,343,343,343,343
2024-12-11,245.38021850585938,230.25999450683594,194.7650146484375,446.5363464355469,139.27964782714844,424.7699890136719,249.67081089954078,231.1999969482422,194.97433891650417,447.8889300799693,140.1394610798945,424.8800048828125,245.15124311202538,226.25999450683594,184.24931049684508,441.62334015579273,135.18055019628483,402.3800048828125,246.84360125039836,226.41000366210938,184.7078071462048,441.62334015579273,137.33007570041752,409.70001220703125,45205800.0,35385800.0,67894100.0,19200200.0,184905200.0,104287600.0,342,342,342,342,342,342
2024-12-12,246.84359741210938,228.97000122070312,191.3362274169922,447.1032409667969,137.31008911132812,418.1000061035156,247.62008434324935,231.08999633789062,194.54574994637335,453.66717934055725,138.4098556769623,429.29998779296875,244.57384885559844,227.6300048828125,191.08703979883614,446.65568798759284,135.77043117490655,415.0,245.77840766369866,229.8300018310547,194.36634216171947,446.65568798759284,137.05015122102654,424.8399963378906,32777500.0,28204100.0,34817500.0,20834800.0,159211400.0,87752200.0,341,341,341,341,341,341
2024-12-13,247.01283264160156,227.4600067138672,189.2031707763672,444.8257141113281,134.22076416015625,436.2300109863281,248.16759835190283,230.1999969482422,192.10370292043277,448.9629838704377,139.56960518418134,436.29998779296875,245.13134272203925,225.86000061035156,189.0237477931648,443.14494732322726,132.51112983721956,415.7099914550781,246.70423080565516,228.39999389648438,190.3892909926089,445.98933356109154,138.90974525213795,420.0,33155300.0,28768100.0,25143500.0,20177800.0,231514900.0,89000200.0,340,340,340,340,340,340
2024-12-14,247.97845458984375,229.28333536783853,191.47575887044272,446.2578531901042,133.4709218343099,445.1600036621094,248.86112530063173,231.13333129882812,194.18691105280382,449.21162373118653,137.8366394961594,445.26332600911456,245.5992159468556,226.57666524251303,190.01385018603548,443.04550384447896,131.80461310286955,422.52332560221356,246.76063490652,229.00999450683594,191.00727485137574,445.60146642483244,137.3234151139944,427.0299987792969,39335133.333333336,31696100.0,31740633.333333332,21318133.333333332,233660300.0,97361400.0,339,339,339,339,339,339
2024-12-15,248.94407653808594,231.1066640218099,193.74834696451822,447.6899922688802,132.72107950846353,454.0899963378906,249.55465224936066,232.06666564941406,196.27011918517485,449.46026359193536,136.10367380813742,454.22666422526044,246.0670891716719,227.29332987467447,191.00395257890614,442.9460603657306,131.09809636851955,429.33665974934894,246.81703900738484,229.6199951171875,191.62525871014256,445.21359928857333,135.73708497585085,434.05999755859375,45514966.666666664,34624100.0,38337766.666666664,22458466.666666668,235805700.0,105722600.0,338,338,338,338,338,338
2024-12-16,249.90969848632812,232.92999267578125,196.02093505859375,449.12213134765625,131.9712371826172,463.0199890136719,250.24817919808956,233.0,198.3533273175459,449.7089034526842,134.37070812011547,463.19000244140625,246.53496239648825,228.00999450683594,191.99405497177682,442.8466168869823,130.39157963416955,436.1499938964844,246.8734431082497,230.22999572753906,192.2432425689094,444.82573215231423,134.1507548377073,441.0899963378906,51694800.0,37552100.0,44934900.0,23598800.0,237951100.0,114083800.0,337,337,337,337,337,337
2024-12-17,252.33872985839844,231.14999389648438,194.7849578857422,451.9764099121094,130.36160278320312,479.8599853515625,252.68716009783537,232.72999572753906,200.76546017959686,452.80189103583194,131.5613383936032,483.989990234375,248.655391740455,227.85000610351562,194.34638528405358,447.11314908926647,126.8323727744144,457.510009765625,248.95404406138837,232.38999938964844,196.60901291047233,448.545282051395,129.06188284882555,475.8999938964844,51356400.0,35948100.0,43504000.0,22733500.0,259410300.0,131223000.0,336,336,336,336,336,336
2024-12-18,246.9331817626953,220.52000427246094,187.78778076171875,434.9997253417969,128.88192749023438,440.1300048828125,253.13512753347695,231.39999389648438,196.35984080968126,450.1763104473289,136.67022414162827,488.5400085449219,246.62457993830327,220.11000061035156,187.1299370164791,434.6317218572595,128.2520598203989,427.010009765625,251.02467749046986,230.77000427246094,194.5856262059038,448.85359210839096,133.83084634553458,466.5,56774100.0,43281400.0,34166100.0,24444500.0,277444500.0,149340800.0,335,335,335,335,335,335
2024-12-19,248.6653289794922,223.2899932861328,187.89739990234375,434.6416931152344,130.65151977539062,436.1700134277344,250.86538527206417,226.08999633789062,192.40271566857012,440.7580781855559,134.0007959707685,456.3599853515625,245.9774886038804,222.9199981689453,187.76783270124025,433.9355816606558,129.52177635647746,420.0199890136719,246.38564624934875,224.91000366210938,191.00727128528027,439.2066057877418,131.7312862928068,451.8800048828125,60882300.0,39918700.0,32265200.0,22963700.0,209719200.0,118566100.0,334,334,334,334,334,334
2024-12-20,253.34417724609375,224.9199981689453,190.78799438476562,434.2140808105469,134.670654296875,421.05999755859375,253.8518755287198,226.2100067138672,192.263180692445,441.3150464611244,135.25052978203578,447.0799865722656,244.58379575845774,218.72999572753906,184.61810708296375,426.28763393531244,128.19207015255643,417.6400146484375,246.92320588947405,219.83999633789062,185.1762848637503,430.7431322726768,129.7817201303188,425.510009765625,147495300.0,88279200.0,63462900.0,64263700.0,306528600.0,132216200.0,333,333,333,333,333,333
2024-12-21,253.60301208496094,224.96666463216147,191.85783894856772,433.7665303548177,136.32696024576822,424.24000040690106,254.0675705288508,226.43333943684897,192.9974544495165,439.29613356175184,136.75353356160284,442.88999430338544,247.1588201065324,220.45332845052084,186.25609655462847,427.6799696221912,130.49156685992358,416.8966776529948,249.15644824384714,221.5633290608724,187.44887327984924,431.94651388948716,131.93791716653587,427.3400065104167,111949800.0,68209466.66666667,50866933.333333336,49226633.333333336,263036900.0,112376833.33333333,332,332,332,332,332,332
2024-12-22,253.86184692382812,225.0133310953776,192.92768351236978,433.31897989908856,137.98326619466147,427.4200032552083,254.28326552898184,226.65667215983072,193.731728206588,437.2772206623793,138.25653734116992,438.7000020345052,249.73384445460707,222.1766611735026,187.8940860262932,429.0723053090699,132.7910635672907,416.15334065755206,251.38969059822023,223.28666178385416,189.72146169594814,433.1498955062976,134.09411420275296,429.1700032552083,76404300.0,48139733.333333336,38270966.66666667,34189566.66666667,219545200.0,92537466.66666666,331,331,331,331,331,331
2024-12-23,254.1206817626953,225.05999755859375,193.99752807617188,432.8714294433594,139.6395721435547,430.6000061035156,254.49896052911285,226.8800048828125,194.46600196365952,435.25830776300677,139.75954112073697,434.510009765625,252.30886880268173,223.89999389648438,189.53207549795792,430.4646409959487,135.09056027465786,415.4100036621094,253.62293295259332,225.00999450683594,191.99405011204706,434.35327712310794,136.25031123897003,431.0,40858800.0,28070000.0,25675000.0,19152500.0,176053500.0,72698100.0,330,330,330,330,330,330
2024-12-24,257.0374755859375,229.0500030517578,195.47271728515625,436.9291076660156,140.18946838378906,462.2799987792969,257.0474099027653,229.13999938964844,195.47271728515625,437.1976515770788,141.8690952419841,462.7799987792969,254.14055892454206,226.1300048828125,193.15028707875092,431.817212852652,138.61980292789985,435.1400146484375,254.3396705835317,226.94000244140625,194.20684004621347,432.27469051669533,139.9695150682445,435.8999938964844,23234700.0,15007500.0,10403300.0,7164500.0,105157000.0,59551800.0,329,329,329,329,329,329
2024-12-25,257.44561767578125,228.0500030517578,195.21854400634766,436.32244873046875,140.04449462890625,458.2050018310547,257.9881620078484,228.81999969482422,195.79167240453884,437.86399645311724,141.34421459868346,464.05499267578125,255.3052964592857,226.4000015258789,193.44931059317793,433.030555008497,138.15990296759088,443.0800018310547,255.6835903824945,227.72000122070312,194.3613304788348,434.47759032142005,139.81954514983062,450.5299987792969,25235900.0,15577100.0,11224950.0,7679350.0,110681300.0,67959100.0,328,328,328,328,328,328
2024-12-26,257.853759765625,227.0500030517578,194.96437072753906,435.7157897949219,139.89952087402344,454.1300048828125,258.9289141129315,228.5,196.11062752392144,438.5303413291557,140.81933395538283,465.3299865722656,256.47003399402934,226.6699981689453,193.74833410760493,434.24389716434194,137.70000300728188,451.0199890136719,257.0275101814573,228.5,194.5158209114561,436.6804901261448,139.6695752314167,465.1600036621094,27237100.0,16146700.0,12046600.0,8194200.0,116205600.0,76366400.0,327,327,327,327,327,327
2024-12-27,254.439208984375,223.75,192.1335906982422,428.17718505859375,136.98016357421875,431.6600036621094,257.5352220874343,226.02999877929688,194.68528435280825,432.84155699312345,138.98973570413628,450.0,251.9206014592013,220.89999389648438,190.0304468655215,424.0200357250834,134.6806765533369,426.5,256.6691137206059,225.60000610351562,194.31647638353087,432.2249501021284,138.51983681592935,449.5199890136719,42355300.0,27367100.0,18891400.0,18117700.0,170582600.0,82666800.0,326,326,326,326,326,326
2024-12-28,253.31430053710938,222.93333435058594,191.62858072916666,426.28757731119794,137.14012654622397,426.9100036621094,255.80969256467466,225.0199991861979,193.7649567158582,430.2988708906801,139.40630567959607,442.3333333333333,251.15407270840666,220.07666015625,189.52211107800937,422.54481750341836,134.45072011209788,422.9166666666667,254.81085826520885,223.75333658854166,192.60539682739798,429.39385040095567,137.28010065245343,439.47999064127606,40089366.666666664,27685133.333333332,17349166.666666668,16464700.0,169633300.0,76758200.0,325,325,325,325,325,325
2024-12-29,252.18939208984375,222.11666870117188,191.12357076009116,424.39796956380206,137.30008951822916,422.1600036621094,254.08416304191502,224.00999959309897,192.84462907890813,427.7561847882368,139.82287565505587,434.6666666666667,250.38754395761202,219.25332641601562,189.01377529049725,421.0695992817533,134.22076367085884,419.3333333333333,252.95260280981185,221.90666707356772,190.8943172712651,426.5627506997829,136.04036448897747,429.4399922688802,37823433.333333336,28003166.666666668,15806933.333333334,14811700.0,168684000.0,70849600.0,324,324,324,324,324,324
2024-12-30,251.06448364257812,221.3000030517578,190.61856079101562,422.50836181640625,137.46005249023438,417.4100036621094,252.35863351915538,223.0,191.92430144195808,425.21349868579347,140.23944563051566,427.0,249.6210152068174,218.42999267578125,188.50543950298513,419.59438106008827,133.99080722961983,415.75,251.09434735441482,220.05999755859375,189.1832377151322,423.7316509986102,134.80062832550155,419.3999938964844,35557500.0,28321200.0,14264700.0,13158700.0,167734700.0,64941000.0,323,323,323,323,323,323
2024-12-31,249.29251098632812,219.38999938964844,188.68484497070312,419.1965637207031,134.26075744628906,403.8399963378906,252.1396347735265,223.22999572753906,191.3362045613809,424.3979934566231,138.0399485497518,427.92999267578125,248.30696287880588,218.94000244140625,187.897403674237,418.36115784079396,133.80086613446198,402.5400085449219,251.30342042234355,222.97000122070312,190.45905938330324,423.77143145899026,137.99994871496077,423.7900085449219,39480700.0,24819700.0,17466900.0,13246500.0,155659200.0,76825100.0,322,322,322,322,322,322
2025-01-01,246.02230072021484,219.80500030517578,188.7496337890625,417.7445373535156,136.27031707763672,391.55999755859375,250.05904375587852,224.18999481201172,191.35614150970713,424.06979668871566,138.44485422400155,410.3300018310547,244.51909723245893,218.56500244140625,187.39405264670512,415.4720360654826,134.20077579422193,387.7900085449219,249.5563126025245,222.5,190.24475935299844,423.48798694947794,136.98516546579077,406.94500732421875,47610700.0,29388150.0,18918850.0,15071500.0,176953200.0,93267900.0,321,321,321,321,321,321
2025-01-02,242.75209045410156,220.22000122070312,188.81442260742188,416.2925109863281,138.27987670898438,379.2799987792969,247.97845273823052,225.14999389648438,191.37607845803336,423.74159992080814,138.84975989825128,392.7300109863281,240.73123158611202,218.19000244140625,186.89070161917323,412.5829142901712,134.60068545398187,373.0400085449219,247.80920478270548,222.02999877929688,190.03045932269364,423.2045424399656,135.97038221662075,390.1000061035156,55740700.0,33956600.0,20370800.0,16896500.0,198247200.0,109710700.0,320,320,320,320,320,320
2025-01-03,242.26429748535156,224.19000244140625,191.166748046875,421.0364685058594,144.43853759765625,410.44000244140625,243.08059762167903,225.36000061035156,192.58214696582633,421.712745134401,144.86843662681642,411.8800048828125,240.80091479245596,221.6199951171875,189.36263229859958,417.2472919522773,139.69956441393234,379.45001220703125,242.26429748535156,222.50999450683594,190.74811471378376,418.77885425500915,139.97950221326124,381.4800109863281,40244100.0,27515600.0,18596200.0,16662900.0,229322500.0,95423300.0,319,319,319,319,319,319
2025-01-04,242.80850219726562,225.3300018310547,192.85458374023438,422.5282694498698,146.0915069580078,410.64333089192706,244.12587269721962,226.5199991861979,194.24672274742036,425.12400175383067,147.2879117671222,416.73000081380206,241.23561416359064,222.69332885742188,190.64844811087232,419.21647059521666,142.39564660738517,386.86667887369794,242.57953693948332,223.9333292643229,191.6152921261671,421.072918016906,142.8388789083266,395.3866780598958,41844600.0,28960333.333333332,22252000.0,17966466.666666668,241340800.0,92121033.33333333,318,318,318,318,318,318
2025-01-05,243.3527069091797,226.47000122070312,194.54241943359375,424.0200703938802,147.74447631835938,410.84665934244794,245.17114777276024,227.67999776204428,195.9112985290144,428.53525837326026,149.70738690742797,421.5799967447917,241.6703135347253,223.76666259765625,191.9342639231451,421.185649238156,145.09172880083798,394.28334554036456,242.89477639361505,225.3566640218099,192.48246953855048,423.3669817788028,145.6982556033919,409.29334513346356,43445100.0,30405066.666666668,25907800.0,19270033.333333332,253359100.0,88818766.66666667,317,317,317,317,317,317
2025-01-06,243.89691162109375,227.61000061035156,196.23025512695312,425.5118713378906,149.39744567871094,411.04998779296875,246.21642284830082,228.83999633789062,197.57587431060844,431.9465149926899,152.12686204773377,426.42999267578125,242.10501290585998,224.83999633789062,193.22007973541784,423.15482788109534,147.78781099429082,401.70001220703125,243.2100158477468,226.77999877929688,193.34964695093382,425.66104554069966,148.55763229845726,423.20001220703125,45045600.0,31849800.0,29563600.0,20573600.0,265377400.0,85516500.0,316,316,316,316,316,316
2025-01-07,241.11947631835938,222.11000061035156,194.85475158691406,420.0617980957031,140.10946655273438,394.3599853515625,244.44443460073458,228.3800048828125,200.34684110917007,428.29654775990844,153.09664186378797,414.3299865722656,240.263347789176,221.4600067138672,193.96764429186354,418.50037065706186,139.97948999458222,390.0,241.88599852058522,227.89999389648438,196.4694824542812,426.655570865203,152.99665754898407,405.8299865722656,40856000.0,28084200.0,26487200.0,18139100.0,351782200.0,75699500.0,315,315,315,315,315,315
2025-01-08,241.60726928710938,222.1300048828125,193.3197479248047,422.23980712890625,140.07948303222656,394.94000244140625,242.61273160476242,223.52000427246094,195.6521403419425,424.6366402910522,143.91864297451565,402.5,238.9692066706783,220.1999969482422,191.7548576174653,419.2363221421035,137.5300354006173,387.3999938964844,240.83078235887348,223.19000244140625,191.944242637603,421.14581248112984,142.54894625810496,392.95001220703125,37628900.0,25033300.0,24864800.0,15054600.0,227349900.0,73038800.0,314,314,314,314,314,314
